"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
197920,197924,"2.4 Support structures","<p dir=""ltr"" style=""text-align:left;"">Support learners and staff to use the LMS.</p><p></p><ul><li><strong>Thematic area:</strong> Infrastructure</li><li><strong>Area of competence:</strong> Maintenance and support</li></ul><br /><p></p>",1,,,,0,null,,106,,
,197930,"Operation/Site structure","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site structure</li></ul><br /><p></p>",1,,,,0,null,,104,,
197930,197931,"3.1 Site / Course defaults","<p dir=""ltr"" style=""text-align:left;"">Enable and record the most suitable site settings for the institution. Consider the use of course templates and site admin presets.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site structure</li></ul><br /><p></p>",1,,,,0,null,,105,,
197930,197932,"3.2 Course / Category Management","<p dir=""ltr"" style=""text-align:left;"">Organise the LMS learning pathways in line with the needs of the institution.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site structure</li></ul><br /><p></p>",1,,,,0,null,,107,,
197930,197933,"3.3 Repositories / Portfolios","<p dir=""ltr"" style=""text-align:left;"">Select the appropriate standard repositories and portfolios for learning and teaching.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site structure</li></ul><br /><p></p>",1,,,,0,null,,108,,
,197940,"Operation / User Management","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> User management</li></ul><br /><p></p>",1,,,,0,null,,109,,
197940,197941,"4.1 Authentication","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> User management</li></ul><br /><p></p>",1,,,,0,null,,110,,
197940,197942,"4.2 Enrolment","<p dir=""ltr"" style=""text-align:left;"">Identify, enable and monitor enrolment methods relevant to the institution.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> User management</li></ul><br /><p></p>",1,,,,0,null,,111,,
197940,197943,"4.3 Roles","<p dir=""ltr"" style=""text-align:left;"">Assign, adapt and create roles appropriately.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> User management</li></ul><br /><p></p>",1,,,,0,null,,112,,
197940,197944,"4.4 Capabilities and Permissions","<p dir=""ltr"" style=""text-align:left;"">Make thoughtful use of permissions to extend or restrict capabilities.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> User management</li></ul><br /><p></p>",1,,,,0,null,,113,,
,197950,"Operation / Site appearance / Functionality / UX","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site appearance/Functionality/UX</li></ul><br /><p></p>",1,,,,0,null,,114,,
197950,197951,"5.1 Navigation","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site appearance/Functionality/UX</li></ul><br /><p></p>",1,,,,0,null,,115,,
197950,197952,"5.2 Customisation","<p dir=""ltr"" style=""text-align:left;"">Brand or personalise the LMS with standard or contributed options.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site appearance/Functionality/UX</li></ul><br /><p></p>",1,,,,0,null,,116,,
197950,197953,"5.3 Accessibility","<p dir=""ltr"" style=""text-align:left;"">Ensure the LMS meets official <a title=""Accessibility"" href=""https://moodle.academy/mod/page/view.php?id=70"">accessibility</a> standards.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li></ul><br /><p></p>",1,,,,0,null,,117,,
197950,197954,"5.4 Inclusion","<p dir=""ltr"" style=""text-align:left;"">Ensure access on mobile devices, via mobile browsers and the mobile app, and mobile-friendly courses.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Site appearance/Functionality/UX</li></ul><br /><p></p>",1,,,,0,null,,118,,
,197960,"Operation / Monitoring","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Monitoring</li></ul><br /><p></p>",1,,,,0,null,,119,,
197960,197961,"6.1 Site reports","<p dir=""ltr"" style=""text-align:left;"">Run, create and, where appropriate share, relevant site reports with appropriate stakeholders.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Monitoring</li></ul><br /><p></p>",1,,,,0,null,,120,,
197960,197962,"6.2 Course reports","<p dir=""ltr"" style=""text-align:left;"">Understand and promote the use of course reports.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Monitoring</li></ul><br /><p></p>",1,,,,0,null,,121,,
197960,197963,"6.3 Insights","<p dir=""ltr"" style=""text-align:left;"">Critically evaluate and implement where appropriate learning analytics.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Monitoring</li></ul><br /><p></p>",1,,,,0,null,,122,,
197960,197964,"6.4 Event monitoring","<p dir=""ltr"" style=""text-align:left;"">Critically evaluate and implement where appropriate event monitoring.</p><p></p><ul><li><strong>Thematic area:</strong> Operation</li><li><strong>Area of competence:</strong> Monitoring</li></ul><br /><p></p>",1,,,,0,null,,123,,
,197970,"Integration / Plugins and extensions","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,124,,
197970,197971,"7.1 Integration Policy","<p dir=""ltr"" style=""text-align:left;"">Implement and update plugins and other integrations in line with an institutional policy.</p><p></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,125,,
197970,197972,"7.2 Community contributions","<p dir=""ltr"" style=""text-align:left;"">Install agreed useful plugins from the Moodle Plugins database.</p><p></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,126,,
197970,197973,"7.3 Commercial add-ons","<p dir=""ltr"" style=""text-align:left;"">Connect to agreed purchased integrations such as Student Management systems or <a href=""https://moodle.com/certified-integrations/"">LMS integrations.</a></p><p></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,127,,
197970,197974,"7.4 LTI","<p dir=""ltr"" style=""text-align:left;"">Evaluate and implement requested External tools, mindful of appropriate security and privacy settings.</p><p></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,128,,
197970,197975,"7.5 Webservices","<p dir=""ltr"" style=""text-align:left;"">Understand and, where appropriate, enable and use relevant webservices.</p><p></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,129,,
197970,197976,"7.6 OER (Open Educational Resources)","<p dir=""ltr"" style=""text-align:left;"">Enable and promote the sharing of open content via <a href=""https://moodle.net/"">Moodle.net.</a></p><p></p><ul><li><strong>Thematic area:</strong> Integration</li><li><strong>Area of competence:</strong> Plugins and extensions</li></ul><br /><p></p>",1,,,,0,null,,130,,
,197980,"Practice / Professional Practice","<p dir=""ltr"" style=""text-align:left;""></p><ul><li><strong>Thematic area:</strong> Practice</li><li><strong>Area of competence:</strong> Professional practice</li></ul><br /><p></p>",1,,,,0,null,,131,,
197980,197981,"8.1 Community troubleshooting and collaboration","<p dir=""ltr"" style=""text-align:left;"">Report bugs and raise queries in the Moodle community via the Tracker and Moodle.org and contribute to the Moodle docs .Contribute contribute within the organisation's local or regional communities.</p><p></p><ul><li><strong>Thematic area:</strong> Practice</li><li><strong>Area of competence:</strong> Professional practice</li></ul><br /><p></p>",1,,,,0,null,,132,,
197980,197982,"8.2 Reflective practice","<p dir=""ltr"" style=""text-align:left;"">Engage in post-upgrade reviews, discussions with other admins, personal journals/blogging.p&gt;</p><p></p><ul><li><strong>Thematic area:</strong> Practice</li><li><strong>Area of competence:</strong> Professional practice</li></ul><br /><p></p>",1,,,,0,null,,133,,
