"Parent ID number","ID number","Short name",Description,"Description format","Scale values","Scale configuration","Rule type (optional)","Rule outcome (optional)","Rule config (optional)","Cross-referenced competency ID numbers","Exported ID (optional)","Is framework",Taxonomy
201614,201628,"B2 (xiv)","Speaking — can explain the function of components in a piece of equipment or apparatus<br /><br /><p><br /></p>",1,,,,0,null,,28,,
201614,201629,"B2 (xv)","Speaking — can discuss relevant skills and experience in a job interview<br /><br /><p><br /></p>",1,,,,0,null,,29,,
201614,201630,"B2 (xvi)","Writing - Can produce clear, detailed reports on issues in their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,30,,
201614,201631,"B2 (xvii)","Writing — can write a summary of an article, talk or discussion<br /><br /><p><br /></p>",1,,,,0,null,,31,,
201614,201632,"B2 (xviii)","<p>Writing — can write explanatory notes and instructions for activities in their field of specialization<br /><br /></p>",1,,,,0,null,,32,,
201614,201633,"B2 (xix)","Interactions — can take part in a formal discussion, such as a committee meeting<br /><br /><p><br /></p>",1,,,,0,null,,33,,
201614,201634,"B2 (xx)","Interactions — can maintain email correspondence in a professional way<br /><br /><p><br /></p>",1,,,,0,null,,34,,
201614,201635,"B2 (xxi)","Interactions — can prepare, design and present a short presentation in their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,35,,
201614,201636,"B2 (xxii)","study skills — can maintain a useful notebook of new words and phrases<br /><br /><p><br /></p>",1,,,,0,null,,36,,
201614,201637,"B2 (xxiii)","study skills — can use recordings and texts for self study of the language<br /><br /><p><br /></p>",1,,,,0,null,,37,,
201614,201638,"B2 (xxiv)","<p>study skills — can reflect on and evaluate their own learning processes<br /><br /></p>",1,,,,0,null,,38,,
,201639,C1,"Proficient user - effective operational proficiency (advanced)",1,,,,0,null,,39,,
201639,201640,"C1 (i)","Listening — can understand spoken language in detail, including complex technical discussions in their field of specialization.<br /><br />",1,,,,0,null,,40,,
201639,201641,"C1 (ii)","Listening — can understand the main ideas of spoken language on practical and abstract topics even where there are problems like bad sound, unusual accents or colloquialisms.<br /><br />",1,,,,0,null,,41,,
201639,201642,"C1 (iii)","Listening — can use a variety of strategies to achieve comprehension and evaluate the success of these strategies<br /><br />",1,,,,0,null,,42,,
201639,201643,"C1 (iv)","Reading — can quickly identify the subject matter and line of argument in a text, differentiating the relevant and the irrelevant<br /><br />",1,,,,0,null,,43,,
201639,201644,"C1 (v)","Reading — can assess the relevance, novelty and reliability of longer texts in their field of specialization. <br /><br /><p><br /></p>",1,,,,0,null,,44,,
201639,201645,"C1 (vi)","<p>Reading — can read a text from their field of specialization and give a reasoned review of it<br /><br /></p>",1,,,,0,null,,45,,
201639,201646,"C1 (vii)","Reading — can read a text on a controversial question in their field and describe their own response to it.<br /><br /><p><br /></p>",1,,,,0,null,,46,,
201639,201647,"C1 (viii)","Reading — can discuss difficulties of translation in their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,47,,
201639,201648,"C1 (ix)","Speaking — can take part in long technical discussions within their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,48,,
201639,201649,"C1 (x)","Speaking — can provide clear instructions about how to solve problems in their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,49,,
201639,201650,"C1 (xi)","Speaking — can explain and teach their colleagues a wide range of ideas related to their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,50,,
201639,201651,"C1 (xii)","Speaking — can persuade their colleagues to adopt particular solutions to problems in their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,51,,
201639,201652,"C1 (xiii)","Speaking — can discuss and specify problems with a piece of equipment or apparatus<br /><br /><p><br /></p>",1,,,,0,null,,52,,
201639,201653,"C1 (xiv)","Speaking — can perform well in a job interview<br /><br /><p><br /></p>",1,,,,0,null,,53,,
201639,201654,"C1 (xv)","Writing — write ordinary business letters relating to their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,54,,
201639,201655,"C1 (xvi)","<p>Writing — can write a job application and CV<br /><br /></p>",1,,,,0,null,,55,,
201639,201656,"C1 (xvii)","Writing — can write a text giving their argument relating to a specific problem in their field of specialization, and describing the problem in detail<br /><br /><p><br /></p>",1,,,,0,null,,56,,
201639,201657,"C1 (xviii)","Interactions — can play an important role in a formal discussion, such as chair or secretary<br /><br /><p><br /></p>",1,,,,0,null,,57,,
201639,201658,"C1 (xix)","Interactions — can check their colleagues' writing and help to improve it<br /><br /><p><br /></p>",1,,,,0,null,,58,,
201639,201659,"C1 (xx)","Interactions — can prepare, design and present a serious and in-depth presentation in their field of specialization<br /><br /><p><br /></p>",1,,,,0,null,,59,,
201639,201660,"C1 (xxi)","study skills — can collaborate on constructing knowledge with a wiki<br /><br /><p><br /></p>",1,,,,0,null,,60,,
201639,201661,"C1 (xxii)","study skills — can use online forums, blogs and networks to develop a personal learning environment<br /><br /><p><br /></p>",1,,,,0,null,,61,,
201639,201662,"C1 (xxiii)","study skills — can describe their learning styles and habits in a useful and interesting way<br /><br /><p><br /></p>",1,,,,0,null,,62,,
,201663,C2,"Proficient user - Mastery",1,,,,0,null,,63,,
201663,201664,"C2 (i)","Can understand with ease virtually everything heard or read.",1,,,,0,null,,64,,
201663,201665,"C2 (ii)","Can summarize information from different spoken and written sources, reconstructing arguments and accounts in a coherent presentation.",1,,,,0,null,,65,,
201663,201666,"C2 (iii)","Can express him/herself spontaneously, very fluently and precisely, differentiating finer shades of meaning even in the most complex situations.",1,,,,0,null,,66,,
